Alemania
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
OSE Benchmark,"883,14","883,72","845,82","+37,43","+4,43%",16:25:00
Oslo OBX,"775,61","775,68","738,17","+37,56","+5,09%",16:25:00
OBX Price,"426,46","426,50","406,00","+20,52","+5,05%",16:25:00
OMX Oslo 20,"524,09","524,11","497,60","+27,76","+5,59%",16:32:00
Oslo All Share,"950,68","952,05","908,96","+41,83","+4,60%",16:25:00
 
Nueva Zelanda
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
NZX 50,"12.562,20","12.569,75","12.337,88","+225,18","+1,83%",05:00:00
NZX MidCap,"5.975,65","5.975,65","5.887,53","+88,12","+1,50%",05:00:00
DJ New Zealand,"383,16","383,34","375,71","+6,95","+1,85%",16:32:00
DJ New Zealand (USD),"482,92","485,51","480,07","+10,71","+2,27%",16:32:00
NZX All,"2.067,55","2.068,67","2.031,12","+36,43","+1,79%",05:00:00
NZX SmallCap,"18.107,94","18.158,31","17.979,15","+106,42","+0,59%",05:00:00
S&P/NZAX All Price,"427,58","429,32","426,65","0,00","0,00%",04/02
 
Omán
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
MSM 30,"3.552,15","3.557,95","3.550,55","+0,00","+0,00%",08/11
 
Pakistán
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Karachi 100,"40.784,04","40.943,80","40.596,99","+52,43","+0,13%",13:29:45
KMI All Shares,"20.057,17","20.148,08","19.958,97","+21,05","+0,11%",13:29:45
FTSE Pakistan,"909,91","909,91","909,91","0,00","0,00%",07/11
Karachi 30,"17.098,24","17.164,91","16.990,74","+16,45","+0,10%",13:29:45
Karachi All Share,"28.670,87","28.773,55","28.548,32","+3,36","+0,01%",13:29:45
Karachi Meezan 30,"64.983,51","65.669,61","64.842,18","-192,04","-0,29%",13:29:45
 
Palestina
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Al-Quds,"434,88","436,84","433,94","-1,96","-0,45%",11:59:00
 
Perú
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
S&P Lima General,"17.994,83","18.065,93","17.868,95","0,00","0,00%",06/11
FTSE Peru,"124,58","124,58","124,58","+0,00","+0,00%",18/09
S&P Lima Corporate Gov,"178,86","179,56","175,97","0,00","0,00%",06/11
S&P Lima Select,"22.078,60","22.123,92","21.824,92","0,00","0,00%",06/11
S&P Peru Select,"474,53","477,66","467,88","+0,00","+0,00%",06/11
 
Polonia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
WIG20,"1.763,48","1.788,27","1.697,78","+65,99","+3,89%",16:33:00
WIG30,"2.028,11","2.042,27","1.938,52","+88,76","+4,58%",16:33:00
mWIG40,"3.625,24","3.643,05","3.525,50","+112,75","+3,21%",16:18:15
sWIG80,"14.315,99","14.326,60","14.001,90","+416,27","+2,99%",16:18:00
WIG,"50.722,87","51.064,11","49.088,85","+1760,39","+3,60%",16:18:01
 
Portugal
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
PSI 20,"4.206,14","4.225,68","4.092,06","+165,28","+4,09%",16:18:15
PSI All Share GR,"3.218,71","3.266,52","3.161,11","+74,60","+2,37%",16:18:00
 
Qatar
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
QE General,"10.094,81","10.094,81","9.886,48","+186,47","+1,88%",12:30:00
FTSE NASDAQ Qatar 10,"6.584,61","6.584,61","6.454,42","+85,32","+1,31%",11:14:00
QE All Shares,"3.116,30","3.116,30","3.059,29","+53,68","+1,75%",12:30:00
 
Reino Unido
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
FTSE 100,"6.232,35","6.259,65","5.972,62","+322,33","+5,45%",16:33:36
FTSE 250,"18.948,94","18.949,09","17.917,83","+1031,11","+5,75%",16:18:00
FTSE 350,"3.547,18","3.549,66","3.355,63","+191,55","+5,71%",16:18:00
FTSE AIM 100,"5.037,70","5.093,39","5.009,57","+20,54","+0,41%",16:18:00
Reino Unido 100,"1.006,1","1.010,4","964,4","+52,4","+5,49%",16:33:38
 
República Checa
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
PX,"892,67","896,03","867,02","+27,41","+3,17%",16:18:31
FTSE Czech Republic,"894,96","894,96","894,96","0,00","0,00%",07/11
OETOB Czech Traded (CZK),"958,72","966,16","953,59","0,00","0,00%",06/11
OETOB Czech Traded (EUR),"980,52","987,98","972,65","0,00","0,00%",06/11
OETOB Czech Traded (USD),"1.164,31","1.169,92","1.153,80","+0,00","+0,00%",06/11
PX-GLOB,"1.201,57","1.201,57","1.201,57","0,00","0,00%",06/11
 
Ruanda
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Rwanda All Share,"148,05","148,05","148,05","0,00","0,00%",16:00:00
Rwanda Share,"109,52","109,52","109,52","0,00","0,00%",16:00:00
 
Rumanía
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
BET,"8.808,33","8.861,95","8.798,08","-36,97","-0,42%",06/11
Bucharest BET-XT,"784,60","789,18","784,60","-3,28","-0,42%",06/11
 
Rusia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
MOEX,"2.987,42","2.988,88","2.910,42","+91,80","+3,17%",16:33:42
RTSI,"1.239,74","1.242,23","1.187,32","+61,46","+5,22%",16:33:42
MOEX 10,"4.908,98","4.909,31","4.761,01","+172,29","+3,64%",16:33:42
MOEX Blue Chip,"19.547,29","19.561,80","18.954,30","+678,08","+3,59%",16:33:48
Russian VIX,"32,100","33,780","29,270","-1,290","-3,86%",16:33:34
 
Serbia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Belex 15,"710,61","713,83","693,02","+5,14","+0,73%",14:01:00
 
Singapur
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
FTSE Singapore,"269,94","269,94","269,94","0,00","0,00%",07/11
MSCI Singapore,"298,63","300,48","297,60","+3,91","+1,33%",06:00:00
 
Sri Lanka
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
CSE All-Share,"6.114,50","6.154,81","6.074,87","+34,41","+0,57%",10:22:00
S&P Sri Lanka 20,"2.370,30","2.377,65","2.347,00","+0,00","+0,00%",06/11
 
Sudáfrica
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
South Africa Top 40,"52.593,50","53.599,25","52.389,20","+782,60","+1,51%",15:59:57
FTSE South Africa,"3.382,77","3.382,77","3.382,77","+0,00","+0,00%",07/11
 
Suecia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
OMXS30,"1.895,93","1.903,18","1.843,08","+76,41","+4,20%",16:18:00
OMX Nordic 40,"1.918,16","1.942,22","1.902,31","+33,84","+1,80%",16:18:00
OMX Stockholm,"748,61","757,12","738,62","+20,08","+2,76%",16:18:00
OMX Stockholm Benchmark,"646,53","653,08","635,69","+19,61","+3,13%",16:18:00
OMX Stockholm Mid Cap,"1.194,75","1.227,36","1.193,33","-1,51","-0,13%",16:18:00
OMX Stockholm Small Cap,"1.073,51","1.085,98","1.072,66","+8,20","+0,77%",16:18:00
 
Suiza
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
SMI,"10.433,00","10.651,00","10.351,39","+110,43","+1,07%",16:33:53
FTSE Switzerland,"557,70","557,70","557,70","+0,00","+0,00%",07/11
Swiss All Share Cumulative Dividend,"12.722,56","12.748,15","12.605,30","+8,28","+0,07%",06/11
Swiss Mid Price,"2.666,70","2.672,43","2.634,23","+2,08","+0,08%",06/11
 
Tailandia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
SET,"1.285,88","1.293,90","1.277,52","+25,80","+2,05%",10:44:00
FTSE SET All-Share,"1.414,41","1.423,93","1.384,11","+30,30","+2,19%",10:44:00
FTSE SET Large Cap,"1.286,31","1.299,43","1.254,52","+31,79","+2,53%",10:39:00
FTSE SET Mid Cap,"1.893,31","1.897,44","1.861,21","+32,10","+1,72%",10:44:00
FTSE SET Mid Small Cap,"1.856,28","1.859,96","1.828,33","+27,95","+1,53%",10:44:00
FTSE SET Shariah,"1.023,84","1.034,21","1.001,22","+22,62","+2,26%",10:44:00
MAI,"317,94","319,93","317,07","+1,39","+0,44%",10:41:00
SET 100,"1.834,32","1.850,49","1.819,23","+43,85","+2,45%",11:07:00
SET 50,"819,07","826,86","811,64","+21,02","+2,63%",11:07:00
 
Taiwán
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Taiwan Weighted,"13.127,47","13.149,90","13.048,67","+153,94","+1,19%",06:33:00
TPEx 50,"201,44","201,44","197,19","+4,25","+2,16%",06:33:00
MSCI Taiwan,"515,62","516,48","513,25","+2,49","+0,49%",06/11
TPEx,"168,13","168,13","166,28","+2,32","+1,40%",06:33:00
TSEC Taiwan 50,"10.224,56","10.224,56","10.107,13","+0,00","+0,00%",03/11
 
Tanzania
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Tanzania All Share,"1.782,64","1.782,64","1.782,64","+2,99","+0,17%",06/11
 
Túnez
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Tunindex,"6.604,06","6.619,61","6.578,46","+36,07","+0,55%",14:41:00
Tunindex20,"2.849,11","2.856,02","2.837,24","+18,48","+0,65%",14:41:00
 
Turquía
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
BIST 100,"1.231,54","1.235,30","1.211,16","+39,58","+3,32%",16:10:12
BIST 100-30,"2.203,24","2.229,72","2.196,25","+30,85","+1,42%",16:10:12
BIST 30,"1.355,90","1.358,98","1.325,30","+53,43","+4,10%",16:10:11
BIST 50,"1.107,04","1.109,40","1.086,24","+38,60","+3,61%",16:10:12
BIST All Shares,"1.408,61","1.412,78","1.389,26","+39,21","+2,86%",16:10:12
BIST All-100,"4.208,02","4.242,92","4.190,79","+40,52","+0,97%",16:10:12
 
Ucrania
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
PFTS,"500,49","500,49","500,49","+0,00","+0,00%",02/11
 
Uganda
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Uganda All Share,"1.369,84","1.369,84","1.369,84","0,00","0,00%",30/06
 
Venezuela
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
IBC,"582.302,19","585.956,44","580.773,94","+1.528,25","+0,26%",06/11
Merinvest Composite,"22.286,12","22.286,12","22.286,12","0,00","0,00%",04/02
 
Vietnam
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
HNX 30,"258,71","258,71","254,63","+4,19","+1,65%",06:00:00
VN,"951,99","951,99","942,15","+13,70","+1,46%",09:01:32
VN 30,"917,42","917,42","902,91","+14,51","+1,61%",09:02:11
FTSE Vietnam,"402,62","402,62","402,62","+8,14","+2,06%",09:37:00
FTSE Vietnam All,"990,92","990,92","990,92","+0,60","+0,06%",06/11
HNX,"141,61","141,61","139,32","+2,30","+1,65%",08:59:00
VN100,"882,31","882,31","868,11","+14,20","+1,64%",09:02:11
 
Zambia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
LSE All Share,"3.760,73","3.760,73","3.760,73","+0,00","+0,00%",06/11
LSE EN,"233,54","233,54","233,54","0,00","0,00%",06/11
LSE Inv,"350,98","350,98","350,98","0,00","0,00%",06/11
 
Zimbabue
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Zimbabwe Industrial,"4.985,46","4.985,46","4.985,46","+26,75","+0,54%",06/11
Zimbabwe Mining,"3.400,14","3.400,14","3.400,14","0,00","0,00%",06/11
 
09/11/2020 17:34:13
